Points#,1000,,,,
Threads#,1,2,4,8,16
Elapsed Time Median,0.03172,0.05396,0.06312,0.09254,0.15604
Estimated Pi Median,3.1648,3.1216,3.1136,3.2064,3.0848
,,,,,
Points#,10000,,,,
Threads#,1,2,4,8,16
Elapsed Time Median,0.2743,0.16458,0.13376,0.12016,0.19058
Estimated Pi Median,3.15224,3.128,3.14848,3.15456,3.0848
,,,,,
Points#,100000,,,,
Threads#,1,2,4,8,16
Elapsed Time Median,2.8488,1.48956,0.7701,0.5476,0.4518
Estimated Pi Median,3.141848,3.139088,3.150144,3.137664,3.14176
,,,,,
Points#,1000000,,,,
Threads#,1,2,4,8,16
Elapsed Time Median,28.16606,15.42372,7.61402,4.5692,2.85844
Estimated Pi Median,3.14069,3.140394,3.142698,3.143219,3.134208
,,,,,
Points#,10000000,,,,
Threads#,1,2,4,8,16
Elapsed Time Median,281.4861,149.7376,75.27482,47.38848,28.84524
Estimated Pi Median,3.141484,3.14198,3.141823,3.141779,3.140492
,,,,,
Points#,100000000,,,,
Threads#,1,2,4,8,16
Elapsed Time Median,2826.681,1470.776,768.305,444.5708,311.7892
Estimated Pi Median,3.141475,3.141429,3.141333,3.141978,3.141764
